144,76,0,222
63,76,0,222
388,52,1,222
273,31,1,222
353,70,0,222
252,16,0,222
237,31,1,222
413,57,1,222
281,33,1,222
182,27,1,222
584,87,1,222
479,69,1,222
180,27,1,222
120,58,0,222
340,6,0,222
163,22,1,222
331,38,1,222
431,20,0,222
48,64,0,222
329,37,1,222
449,9,0,222
460,67,1,222
182,68,1,222
199,28,1,222
151,17,0,222
337,45,0,222
290,84,0,222
334,38,1,222
325,77,0,222
26,19,0,222
245,76,0,222
117,18,1,222
443,66,1,222
495,2,0,222
120,18,1,222
451,66,1,222
122,23,0,222
54,10,1,222
153,56,0,222
514,40,0,222
418,45,0,222
374,62,0,222
231,31,1,222
97,29,0,222
118,18,1,222
184,28,1,222
294,41,0,222
461,87,0,222
303,35,1,222
83,28,0,222
173,25,1,222
197,28,1,222
49,37,0,222
151,6,0,222
292,34,1,222
326,4,0,222
102,14,1,222
307,16,0,222
38,21,0,222
126,37,0,222
58,10,1,222
398,10,0,222
301,38,0,222
29,8,1,222
416,57,1,222
181,53,0,222
64,4,0,222
385,80,0,222
448,64,0,222
100,14,1,222
108,17,1,222
480,69,1,222
235,31,1,222
421,8,0,222
319,35,1,222
213,78,0,222
116,18,1,222
514,82,0,222
349,27,0,222
173,44,0,222
14,35,0,222
349,41,0,222
501,72,1,222
327,37,1,222
391,66,0,222
289,69,0,222
323,37,1,222
280,33,1,222
135,51,0,222
268,70,0,222
380,33,0,222
77,20,0,222
363,46,0,222
220,17,0,222
248,24,0,222
385,54,0,222
521,12,0,222
127,10,0,222
426,61,1,222
117,8,0,222
132,1,0,222
554,82,1,222
288,33,1,222
198,48,0,222
570,85,1,222
19,5,1,222
471,69,1,222
407,42,0,222
451,77,0,222
203,28,1,222
188,28,1,222
59,65,0,222
122,18,1,222
295,54,0,222
1,6,0,222
385,58,0,222
351,39,1,222
141,19,1,222
417,55,0,222
397,1,0,222
314,35,1,222
531,78,1,222
432,63,1,222
476,69,1,222
285,33,1,222
246,86,0,222
94,13,1,222
527,15,0,222
441,43,0,222
431,65,1,222
550,13,0,222
452,64,0,222
478,69,1,222
156,22,1,222
218,29,1,222
410,56,1,222
333,38,1,222
219,30,1,222
405,55,1,222
393,53,1,222
65,35,0,222
160,42,0,222
537,79,1,222
458,52,0,222
179,67,0,222
99,19,0,222
536,44,0,222
105,83,0,222
168,23,1,222
542,19,0,222
84,18,1,222
566,84,1,222
444,68,1,222
63,21,0,222
212,28,1,222
315,56,0,222
431,15,0,222
250,33,0,222
302,45,0,222
399,15,0,222
21,36,0,222
144,19,1,222
2,0,1,222
332,38,1,222
92,22,0,222
403,46,0,222
221,30,1,222
338,41,0,222
567,79,0,222
553,82,1,222
483,70,1,222
154,67,0,222
81,10,1,222
191,28,1,222
118,38,0,222
289,30,0,222
68,10,1,222
496,55,0,222
425,59,1,222
328,72,0,222
564,9,0,222
349,39,1,222
315,9,0,222
51,10,1,222
175,26,1,222
80,10,1,222
270,31,1,222
514,77,0,222
535,79,1,222
62,10,1,222
